"word","meaning","example","exampleMeaning","synonym"
"correspondence","the exchange of letters, emails, or messages between people","Our company had a long correspondence with the client.","私たちの会社はその顧客と長い間やり取りをした。","communication,exchange"
"facility","a place or equipment provided for a specific purpose","The new sports facility is open to the public.","その新しいスポーツ施設は一般に公開されている。","building,installation,amenity"
"brochure","a small booklet or leaflet with information about something","She picked up a travel brochure at the information desk.","彼女は案内カウンターで旅行のパンフレットを手に取った。","pamphlet,leaflet,booklet"
"apologize","to say sorry for something you have done wrong","He apologized for being late to the meeting.","彼は会議に遅れたことを謝った。","say sorry,express regret"
"thoroughly","in a complete and careful way","The report was thoroughly checked before submission.","その報告書は提出前に徹底的にチェックされた。","completely,fully"
"candidate","a person who is being considered for a job or position","She is a strong candidate for the position.","彼女はその職に対する有力な候補者です。","applicant,nominee"
"acquaintance","a person you know but not very well","He is just an acquaintance, not a close friend.","彼は親しい友人ではなく、ただの知り合いだ。","contact,associate"
"reluctant","not willing to do something and therefore slow to act","He was reluctant to speak in front of the audience.","彼は人前で話すことに気が進まなかった。","unwilling,hesitant"
"anticipate","to expect or predict something","We anticipate an increase in customer demand during the holiday season.","休暇シーズン中は顧客需要の増加が見込まれます。","expect,predict"
"shipment","the act of sending goods from one place to another","The shipment will arrive at the warehouse by Friday.","その出荷品は金曜日までに倉庫に到着する予定です。","delivery,cargo"
"alternatively","as another option or choice","Alternatively, you can attend the meeting online if you cannot come to the office.","もしオフィスに来られない場合は、代わりにオンラインで会議に参加することもできます。","instead,otherwise"
