"word","image","meaning","example","exampleMeaning","synonym"
"correspondence","correspondence.jpg","通信、手紙のやり取り、一致","Our company had a long correspondence with the client about the new project.","私たちの会社は新しいプロジェクトについてその顧客と長い間やり取りをしました。","communication,exchange,relation"
"ability","ability.jpg","能力","She has the ability to solve problems.","彼女には問題を解決する能力がある。","skill,talent"
"accept","accept.jpg","受け入れる","He accepted the invitation.","彼は招待を受け入れた。","receive,agree"
"achieve","achieve.jpg","達成する","She achieved her dream.","彼女は夢を達成した。","accomplish,attain"
"activity","activity.jpg","活動","Outdoor activities are fun.","屋外活動は楽しい。","action,event"
"advice","advice.jpg","助言","She gave me good advice.","彼女は良い助言をくれた。","suggestion,tip"
"affect","affect.jpg","影響する","Rain affects traffic.","雨は交通に影響する。","influence,impact"
"agree","agree.jpg","同意する","I agree with you.","私はあなたに同意します。","consent,approve"
"allow","allow.jpg","許可する","The teacher allowed us to leave.","先生は私たちが帰るのを許した。","permit,let"
"amazing","amazing.jpg","驚くべき","The view is amazing.","その景色は素晴らしい。","incredible,astonishing"
"answer","answer.jpg","答える","She answered the question.","彼女は質問に答えた。","reply,response"
"appear","appear.jpg","現れる","A rainbow appeared.","虹が現れた。","emerge,show"
"arrive","arrive.jpg","到着する","The train arrived on time.","電車は時間通りに到着した。","reach,come"
"ask","ask.jpg","尋ねる","He asked a question.","彼は質問した。","inquire,question"
"attend","attend.jpg","出席する","I attended the meeting.","私は会議に出席した。","join,participate"
"beautiful","beautiful.jpg","美しい","The flowers are beautiful.","花は美しい。","pretty,lovely"
"believe","believe.jpg","信じる","I believe his story.","私は彼の話を信じる。","trust,accept"
"build","build.jpg","建てる","They built a house.","彼らは家を建てた。","construct,create"
"buy","buy.jpg","買う","She bought a book.","彼女は本を買った。","purchase,get"
"call","call.jpg","電話する","I will call you later.","あとで電話します。","phone,contact"
"care","care.jpg","世話","She cares for children.","彼女は子どもの世話をする。","look after,tend"
